steps,x,y,roll,distance_to_obj,laser
20,2.0892510414123535,1.0,0.0,3.843919727651743,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9605870842933655, 0.6000024676322937]"
21,2.093501091003418,1.0,0.0,3.845678838258479,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9591098427772522, 0.6000298857688904]"
22,2.0977511405944824,1.0,0.0,3.8474418393617036,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9576491713523865, 0.9000028967857361]"
23,2.102001190185547,1.0,0.0,3.8492087256156826,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96049964427948, 0.9000023007392883]"
24,2.1062512397766113,1.0,0.0,3.8509794916727227,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9590234160423279, 0.9000217914581299]"
25,2.110501289367676,1.0,0.0,3.852754132183229,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9575637578964233, 0.9000023007392883]"
26,2.1147513389587402,1.0,0.0,3.8545326417957657,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9604123830795288, 0.9000028967857361]"
27,2.1190013885498047,1.0,0.0,3.856315015157112,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9589370489120483, 0.9000201225280762]"
28,2.123251438140869,1.0,0.0,3.8581012469123204,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.957478404045105, 0.9000017642974854]"
29,2.1275014877319336,1.0,0.0,3.8598913317047745,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9603250622749329, 0.9000035524368286]"
30,2.131751537322998,1.0,0.0,3.8616852641762467,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9588507413864136, 0.9000184535980225]"
31,2.1360015869140625,1.0,0.0,3.863483038966954,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9573930501937866, 0.9000013470649719]"
32,2.140251636505127,1.0,0.0,3.865284650715617,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9602377414703369, 0.9000043272972107]"
33,2.1445016860961914,1.0,0.0,3.8670900940595136,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9587644338607788, 0.9000169038772583]"
34,2.148751735687256,1.0,0.0,3.868899363634539,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9573076963424683, 0.9000009894371033]"
35,2.1530017852783203,1.0,0.0,3.870712454075259,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9601505994796753, 0.9000051021575928]"
36,2.1572518348693848,1.0,0.0,3.8725293600149686,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9586782455444336, 0.9000154137611389]"
37,2.161501884460449,1.0,0.0,3.874350076085746,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9572225213050842, 0.9000006914138794]"
38,2.1657519340515137,1.0,0.0,3.876174596918508,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9600635170936584, 0.9000059366226196]"
39,2.170001983642578,1.0,0.0,3.878002917143068,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9585921168327332, 0.9000139832496643]"
40,2.1742520332336426,1.0,0.0,3.8798350313881884,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9571373462677002, 0.9000003933906555]"
41,2.178502082824707,1.0,0.0,3.8816709342816376,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9599764347076416, 0.9000069499015808]"
