steps,x,y,z,roll,pitch,yaw,distance_to_obj,laser
1408,0.8758824682798583,1.240055903800666,0.02766086651626367,0.0019657414592475185,0.004085131444894751,2.499544898633115,7.840942073581432,"[1.         0.92009938 0.77334607 0.74440189 0.81194565 1.
 1.         1.         1.         1.        ]"
1409,0.8708608949397689,1.2437689620164956,0.02727838890238616,-0.0009762191614987492,0.006644568716464106,2.479880810315468,7.837989221296167,"[1.         0.92009938 0.77334607 0.74440189 0.81194565 1.
 1.         1.         1.         1.        ]"
1410,0.8662916339044247,1.2473335031711323,0.027654136978368517,-0.00038378442182971674,0.009358021342464818,2.4601773298065224,7.835121726585228,"[1.         0.85148395 0.73777267 0.72835499 0.81640394 1.
 1.         1.         1.         1.        ]"
1411,0.8618911453995003,1.2509391968745331,0.027498335079210397,-0.0009659194257030112,0.007934231935873887,2.4405094211542564,7.832192227943308,"[1.         0.85148395 0.73777267 0.72835499 0.81640394 1.
 1.         1.         1.         1.        ]"
1412,0.8578899052781427,1.2543756425873986,0.02792494662956689,0.0013046515367685534,0.0076237981617372904,2.4179341409531125,7.8293749529965,"[1.         0.85148395 0.73777267 0.72835499 0.81640394 1.
 1.         1.         1.         1.        ]"
1413,0.853745813590159,1.2580667970800554,0.027767475268904693,0.0006187310912139196,0.006772014441744032,2.3931845315561917,7.826329176461743,"[1.         0.85148395 0.73777267 0.72835499 0.81640394 1.
 1.         1.         1.         1.        ]"
1414,0.8494725125378269,1.2619447461735587,0.02747439019567701,-0.0027664319085158,0.005397338182832192,2.370459512798488,7.823120388353807,"[1.         0.79124429 0.70972954 0.72244    0.83860687 1.
 1.         1.         1.         1.        ]"
1415,0.8455700372498037,1.26583130843227,0.02767854149757902,-0.0008245944803237135,0.0050047685361871855,2.3494119772078554,7.819851270230266,"[1.         0.79124429 0.70972954 0.72244    0.83860687 1.
 1.         1.         1.         1.        ]"
1416,0.8419070112163901,1.2696558973953773,0.02743619469138798,-0.000573231082891007,0.006110929084818925,2.3265124304183056,7.816610474837788,"[1.         0.79124429 0.70972954 0.72244    0.83860687 1.
 1.         1.         1.         1.        ]"
1417,0.8384779229177451,1.2733752542797396,0.027848452729224718,0.0019312545308320353,0.007692763562302956,2.302043730390062,7.813441207094742,"[1.         0.79124429 0.70972954 0.72244    0.83860687 1.
 1.         1.         1.         1.        ]"
